804403  8.5  8.75  10  9.5  10  7   8.3  1 1 1 1 1   1 1 1 1 1   78   84  88
888888  10   10    10  10   10  10  10   1 1 1 1 1   1 1 1 1 1   80   100 100
818181  10   10    10  10   10  10  10   1 1 1 1 1   1 1 1 1 1   72.5 92  95
860003  6.5  6.75  10  10   9.5  4  7.6  1 1 1 1 1   1 1 1 1 1   50   84  88
000000  8    5     10  9.5  10   4  8    1 1 0 0 1   1 1 1 0 0   90   84  88
392384  7    7     7   7    7    7  7    0 0 1 1 1   1 0 1 0 1   68   80  83.7
808080  10   10    10  9.5  10   10 10   1 1 1 1 1   1 1 1 1 1   85   90  50
485939 5   5    5 5    5    5 5.5  1 0 1 1 1   1 0 1 1 1   77 70 70
485939 5   5    5 5    5    5 5.5  1 1 1 1 1   1 1 1 1 0   71 60 50
382901 10   10    10 10    10    10 10    1 1 1 1 1   1 1 1 1 1   51 45 55
860403 5   6.75 10 10    9.5  4 7.6  1 1 1 0 1   1 1 1 1 0   76 84 49.5
